Année,Mois,Temps de réponse PCR en JO,Temps de réponse PCR en JO CDG,PCR Reçu,PCR Complété,PCR Annulé,PCR Traité envoyé pour CDG,PCR Réponse faite au demandeur,DO Reçu,DO Traité
2018,Janvier,6.666666666666667,0.0,11,11,1,0,3,0,0
2018,Février,8.909090909090908,0.0,7,7,1,0,11,0,0
2018,Mars,6.785714285714286,0.0,34,34,3,0,28,9,1
2018,Avril,6.9411764705882355,0.0,18,18,0,0,17,3,9
2018,Mai,8.263157894736842,0.0,20,20,0,0,19,0,0
2018,Juin,10.576923076923077,0.0,34,34,2,0,26,6,3
2018,Juillet,9.052631578947368,0.0,9,9,1,0,18,0,2
2018,Août,0.0,0.0,2,2,0,0,0,4,0
2018,Septembre,14.625,0.0,15,15,0,0,16,1,8
2018,Octobre,6.888888888888889,0.0,32,32,0,0,26,0,0
2018,Novembre,11.090909090909092,0.0,10,10,2,0,11,13,15
2018,Décembre,17.833333333333332,0.0,7,7,1,2,6,4,2
2019,Janvier,12.6,2.8333333333333335,17,17,1,10,15,2,3
2019,Février,9.2,2.6,8,8,3,10,10,4,4
2019,Mars,6.3,2.15,19,19,1,20,20,0,0
2019,Avril,5.333333333333333,2.5833333333333335,13,13,1,12,12,6,3
2019,Mai,0.0,0.0,3,3,0,0,0,1,6
2019,Juin,11.0,5.285714285714286,4,4,0,7,7,2,0
2019,Juillet,4.25,2.25,5,5,0,4,4,2,2
2019,Août,17.0,2.0,5,1,0,1,1,1,1
2019,Septembre,12.666666666666666,2.8333333333333335,11,7,1,7,6,0,2
2019,Octobre,6.411764705882353,3.764705882352941,14,19,1,16,17,10,9
2019,Novembre,6.0,4.333333333333333,6,6,0,7,6,1,2
2019,Décembre,12.636363636363637,3.5454545454545454,6,6,0,10,11,1,0
2020,Janvier,4.25,3.375,9,9,0,13,8,1,2
2020,Février,6.555555555555555,5.0,14,8,0,7,9,5,3
2020,Mars,3.875,2.75,6,12,0,14,16,2,4
2020,Avril,3.4285714285714284,1.7142857142857142,9,9,0,7,7,0,0
2020,Mai,4.5,2.5,4,4,0,5,4,0,0
2020,Juin,4.333333333333333,13.166666666666666,7,6,1,4,6,2,2
2020,Juillet,8.375,4.5,6,7,0,8,8,5,1
2020,Août,0.0,0.0,7,7,0,7,0,0,2
2020,Septembre,9.61111111111111,3.8333333333333335,11,11,0,11,18,8,6
2020,Octobre,0.0,0.0,5,1,0,0,0,3,5
2020,Novembre,3.25,2.125,3,8,0,8,8,5,4
2020,Décembre,4.0,1.0,2,2,0,2,4,1,3
2021,Janvier,5.285714285714286,1.4285714285714286,12,12,0,7,7,0,0
2021,Février,4.65,2.2,17,17,2,20,20,0,0
2021,Mars,4.533333333333333,2.533333333333333,16,16,1,15,15,1,1
2021,Avril,0.0,0.0,3,3,2,1,0,0,0
2021,Mai,6.1,2.1,10,9,0,9,10,1,0
2021,Juin,4.125,2.125,9,9,0,8,8,3,1
2021,Juillet,6.0,3.0,6,4,0,5,5,3,1
2021,Août,6.0,3.0,1,1,0,1,1,0,1
2021,Septembre,7.111111111111111,1.6666666666666667,33,31,8,18,18,2,3
2021,Octobre,4.130434782608695,1.55,24,28,4,20,23,1,2
2021,Novembre,25.0,0.0,4,2,0,0,2,3,3
2021,Décembre,25.5,1.8333333333333333,0,0,0,6,6,4,3
2022,Janvier,4.111111111111111,1.2222222222222223,10,10,0,9,9,0,5
2022,Février,1.8571428571428572,1.2857142857142858,13,13,0,14,14,0,0
2022,Mars,6.0,1.0,20,3,0,2,1,0,0
2022,Avril,8.692307692307692,5.076923076923077,15,24,3,24,13,0,0
2022,Mai,14.5,9.521739130434783,14,14,0,15,24,0,0
2022,Juin,0.0,0.0,2,0,0,0,0,0,0
2022,Juillet,0.0,0.0,0,0,0,0,0,0,0
2022,Août,0.0,0.0,0,0,0,0,0,0,0
2022,Septembre,0.0,0.0,0,0,0,0,0,0,0
2022,Octobre,0.0,0.0,0,0,0,0,0,0,0
2022,Novembre,0.0,0.0,0,0,0,0,0,0,0
2022,Décembre,0.0,0.0,0,0,0,0,0,0,0
2023,Janvier,0.0,0.0,0,0,0,0,0,0,0
2023,Février,0.0,0.0,0,0,0,0,0,0,0
2023,Mars,0.0,0.0,0,0,0,0,0,0,0
2023,Avril,0.0,0.0,0,0,0,0,0,0,0
2023,Mai,0.0,0.0,0,0,0,0,0,0,0
2023,Juin,0.0,0.0,0,0,0,0,0,0,0
2023,Juillet,0.0,0.0,0,0,0,0,0,0,0
2023,Août,0.0,0.0,0,0,0,0,0,0,0
2023,Septembre,0.0,0.0,0,0,0,0,0,0,0
2023,Octobre,0.0,0.0,0,0,0,0,0,0,0
2023,Novembre,0.0,0.0,0,0,0,0,0,0,0
2023,Décembre,0.0,0.0,0,0,0,0,0,0,0
2024,Janvier,0.0,0.0,0,0,0,0,0,0,0
2024,Février,0.0,0.0,0,0,0,0,0,0,0
2024,Mars,0.0,0.0,0,0,0,0,0,0,0
2024,Avril,0.0,0.0,0,0,0,0,0,0,0
2024,Mai,0.0,0.0,0,0,0,0,0,0,0
2024,Juin,0.0,0.0,0,0,0,0,0,0,0
2024,Juillet,0.0,0.0,0,0,0,0,0,0,0
2024,Août,0.0,0.0,0,0,0,0,0,0,0
2024,Septembre,0.0,0.0,0,0,0,0,0,0,0
2024,Octobre,0.0,0.0,0,0,0,0,0,0,0
2024,Novembre,0.0,0.0,0,0,0,0,0,0,0
2024,Décembre,0.0,0.0,0,0,0,0,0,0,0
